,Tweet,Label,char_counts,word_counts,avg_wordlength,hashtag_counts,mentions_counts,digits_counts,clean_tweet
0,pichwara se akhrot kahe fod rahe ho chicha,1,35,8,4.375,0,0,0,pichwara akhrot kahe fod rahe chicha
1,bhaunk bhaunk ke pagal ho jaata ab tak....,0,35,8,4.375,0,0,1,bhaunk bhaunk ke pagal jaata tak
2,shivsaina  nam mulla  saina  rakh  hijra  uddhav thackeray,0,46,8,5.75,0,0,0,shivsaina nam mulla saina rakh hijra uddhav thackeray
3,there are some yahodi daboo like imran chore zakat khore,0,47,10,4.7,0,0,0,yahodi daboo like imran chore zakat khore
4,"chutiye ye hunduism ni he islam he , isme koi kisi muslim ko ni maarta gashti ke bache",0,69,18,3.8333333333333335,0,0,1,chutiye ye hunduism ni islam isme kisi muslim ni maarta gashti ke bache
5,han g rakhail e awal kiya bak rai hai. kisay ahmaq kah rai hai dali. tera baap ho ga ahmaq ghasti bosri ki dali,0,88,24,3.6666666666666665,0,0,2,g rakhail e awal kiya bak rai kisay ahmaq kah rai dali tera baap ahmaq ghasti bosri dali
6,can you please stop pinning a fan everytime bro  what you need attention  ki log aakar gaali de  usne tera naam likha ho post me  usne tere idol sid ko kuch bola ho   ajeeb chutiya ho yaar poke krna h 24ghante tum chutiyo ko  show ko show ki tarah dekho bc,0,199,51,3.9019607843137254,0,0,1,stop pinning fan everytime bro need attention log aakar gaali usne tera naam likha post usne tere idol sid bola ajeeb chutiya yaar poke h 24ghante tum chutiyo tarah dekho bc
7, hum kisi se km nhi,1,14,5,2.8,0,0,0,kisi nhi
8,"aurat bhatak sakri hy kbi “maa” ni bhatakti .  ye line hmy btati hy ky islam ny nikah ko kitna khubsurat rishta bnaya hy , jismy aurat phly sy ziada mazboot hojati , mukammal hojati hy . ♥️  #alif",1,156,39,4.0,1,0,4,aurat bhatak sakri kbi maa ni bhatakti ye line hmy btati ky islam nikah kitna khubsurat rishta bnaya jismy aurat phly ziada mazboot hojati mukammal hojati alif
9,  ye ek aur a gya...bikkau maal...mufty kay kutay...mujib shami lifafay k sath beth kr putar tum jo ho wo chupp nahi sakta... university mein tum jesy londday mushkil waqt mein kaam aatay hain...useless stunts,0,174,34,5.117647058823529,0,0,5,ye ek bikkau maal mufty kay kutay mujib shami lifafay k sath beth putar tum chupp nahi sakta university mein tum jesy londday mushkil waqt mein kaam aatay useless stunts
10,akhrott wants to know your location..,0,32,6,5.333333333333333,0,0,1,akhrott wants know location
11, with due respect sir kya aurat march se ye chezain khtm hu jain gi...?,1,57,14,4.071428571428571,0,0,1,respect sir aurat march ye chezain khtm hu jain
12,.. mera jism meri marzi ka nara woh aurteen laga rahi hain jinki marzi ho betu mard hath bandh kar mazrat kar leta hai.🙏🏻😔#stopauratbarbadimarch  ..,0,123,25,4.92,0,0,3,mera jism meri marzi nara aurteen laga jinki marzi betu mard hath bandh mazrat leta hai stopauratbarbadimarch
13,  good next time b kabhi koi chizz mat mangnnna..... coz we have mind not heart.... stay blessed 😘,0,79,18,4.388888888888889,0,0,2,good time b kabhi chizz mat mangna coz mind heart stay blessed
14,hahaha ap ke jawab bta rahe kon gussa kr raha ha aur haqiqat ko jutlaya nahi ja sakta api boot chatney wali riwayat n leauge me paie jati ha 😊😊😊😊,0,116,30,3.8666666666666667,0,0,0,hahaha ap ke jawab bta rahe kon gussa ha haqiqat jutlaya nahi sakta api boot chatney wali riwayat n leauge paie ha
15,#boycottchhapaak deepika randi hai,0,31,4,7.75,1,0,0,boycottchhapaak deepika randi
16, 😂😂😂😂😂😂 chal ja tujhy maaf kia,1,24,6,4.0,0,0,0,tujhy maaf kia
17,agr ap chahtay hn k log ap ko acha kahean to apna naam acha rakh lean or koi tareeqa nai h,1,70,21,3.3333333333333335,0,0,0,agr ap chahtay hn k log ap kahean apna naam rakh lean tareeqa h
