,Tweet,Label
0,pichwara se akhrot kahe fod rahe ho chicha,1
1,bhaunk bhaunk ke pagal ho jaata ab tak....,0
2,shivsaina  nam mulla  saina  rakh  hijra  uddhav thackeray,0
3,there are some yahodi daboo like imran chore zakat khore,0
4,"chutiye ye hunduism ni he islam he , isme koi kisi muslim ko ni maarta gashti ke bache",0
5,han g rakhail e awal kiya bak rai hai. kisay ahmaq kah rai hai dali. tera baap ho ga ahmaq ghasti bosri ki dali,0
6,can you please stop pinning a fan everytime bro  what you need attention  ki log aakar gaali de  usne tera naam likha ho post me  usne tere idol sid ko kuch bola ho   ajeeb chutiya ho yaar poke krna h 24ghante tum chutiyo ko  show ko show ki tarah dekho bc,0
7, hum kisi se km nhi,1
8,"aurat bhatak sakri hy kbi “maa” ni bhatakti .  ye line hmy btati hy ky islam ny nikah ko kitna khubsurat rishta bnaya hy , jismy aurat phly sy ziada mazboot hojati , mukammal hojati hy . ♥️  #alif",1
9,  ye ek aur a gya...bikkau maal...mufty kay kutay...mujib shami lifafay k sath beth kr putar tum jo ho wo chupp nahi sakta... university mein tum jesy londday mushkil waqt mein kaam aatay hain...useless stunts,0
10,akhrott wants to know your location..,0
11, with due respect sir kya aurat march se ye chezain khtm hu jain gi...?,1
12,.. mera jism meri marzi ka nara woh aurteen laga rahi hain jinki marzi ho betu mard hath bandh kar mazrat kar leta hai.🙏🏻😔#stopauratbarbadimarch  ..,0
13,  good next time b kabhi koi chizz mat mangnnna..... coz we have mind not heart.... stay blessed 😘,0
14,hahaha ap ke jawab bta rahe kon gussa kr raha ha aur haqiqat ko jutlaya nahi ja sakta api boot chatney wali riwayat n leauge me paie jati ha 😊😊😊😊,0
15,#boycottchhapaak deepika randi hai,0
16, 😂😂😂😂😂😂 chal ja tujhy maaf kia,1
17,agr ap chahtay hn k log ap ko acha kahean to apna naam acha rakh lean or koi tareeqa nai h,1
18,nhi walid sabh ne wo aksr tumri maa sey milne aty te.,0
19,ooper se sir g msla ye ha k this works too 😁😂,1
20, apk options thk ni hain....basically logon ko march pe ni slogans pe aitraz hai,1
21,"... want or change their religion.   #pakistan’s constitution does not give its citizens right to choose any religion or even change it, in fact it criminalizes and persecutes its own ahmaddiya muslim community (who are criminalized to not even call themselves muslims)",1
22,abay saalay,0
23,  haaan mene b dekha thaa ye matermind nai dhokebaz hy,0
24,no we do not want a syria. peoples sects should he stated instead of accusations being fired hes ahmedi. etc . we are a sunni country it should remain that way.,1
25,aray bosdk 🌚 ✌️,0
26, abi tk tu khair hi haa😂,1
27,   hn ye sai hy 😂😂😂,1
28,teri baji ko bhe ye he aitraz ha ha wesay patwari khota he tera asli abba ha beshak apni ami jan say puch lay baki imran yahodi bayghart kashmir frosh say to teri ami jan nay taste change kia ha imrani tati sahib,0
29,masjid nhi tm mullo ka kabr khodunga wha madarchod halale ki paidaish ...10 baap ki aulaad .. pakistani kutte saale .. hindustan m rhte ho hm hindu log tmhare maa bhen chod denge bhen chod agr hmari dimag ki hti to,0
30,pechy auntie check kar bhai iskaa link milyy ga kia 😜😜👆,0
31,    haan chal abb teri baari😁,1
